dataset,budget,conv_edges,conv_drop,deg_edges,deg_drop
amazon_ratings,0.3,32.946587855991396,6.433617674318524,46.09682966147233,5.878871674821329
citeseer,0.3,37.00131810193321,3.274428702724073,48.055799648506145,1.0097947908110485
cora,0.3,36.3452065176203,2.579167288469404,46.138688897309585,2.6759889086996678
minesweeper,0.3,29.761687223998777,17.14663884226268,33.16785949951778,8.186041307951228
pubmed,0.3,49.61961916794513,1.340115165607773,61.52648677917156,1.4537010737336387
questions,0.3,52.386479093395856,10.306006416052801,68.34492640354306,12.305605753577414
roman_empire,0.3,36.51653658092143,12.922238330802784,44.400643848513376,11.475539590786392
tolokers,0.3,40.37657032755298,2.633038405135926,65.17980732177264,3.1730889161278975
