indicator,n_datasets,n_folds_total,drop_mean,drop_se,total_se
confidence,8,80,0.6668870631924385,0.37327880242915756,0.12665693099681283
conviction,8,80,3.085230065075256,0.95104186100085,0.34172681468710964
degree,8,80,4.186085074004842,1.9493348742166634,0.6099844580359052
