dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
minesweeper,GeneralSheaf,true,5,6,epoch-0,6,1,confidence,0.25004071420941054
minesweeper,GeneralSheaf,true,5,6,epoch-0,0,1,saliency,-0.2973233506265778
minesweeper,GeneralSheaf,true,5,6,epoch-0,1,1,saliency,-0.007077735059987643
minesweeper,GeneralSheaf,true,5,6,epoch-0,2,1,saliency,0.2381174309764618
minesweeper,GeneralSheaf,true,5,6,epoch-0,3,1,saliency,0.4011987903280419
minesweeper,GeneralSheaf,true,5,6,epoch-0,4,1,saliency,0.5110917554948501
minesweeper,GeneralSheaf,true,5,6,epoch-0,5,1,saliency,0.5079800056719915
minesweeper,GeneralSheaf,true,5,6,epoch-0,6,1,saliency,0.5492377933279119
minesweeper,GeneralSheaf,true,5,6,epoch-0,0,1,cohens_d_train,0.3253051
minesweeper,GeneralSheaf,true,5,6,epoch-0,1,1,cohens_d_train,0.35464138
minesweeper,GeneralSheaf,true,5,6,epoch-0,2,1,cohens_d_train,0.11585323
minesweeper,GeneralSheaf,true,5,6,epoch-0,3,1,cohens_d_train,0.16399062
minesweeper,GeneralSheaf,true,5,6,epoch-0,4,1,cohens_d_train,0.07297399
minesweeper,GeneralSheaf,true,5,6,epoch-0,5,1,cohens_d_train,0.0006218215
minesweeper,GeneralSheaf,true,5,6,epoch-0,6,1,cohens_d_train,0.0050555933
minesweeper,GeneralSheaf,true,5,6,epoch-0,0,1,cohens_d_test,0.27158973
minesweeper,GeneralSheaf,true,5,6,epoch-0,1,1,cohens_d_test,0.2721595
minesweeper,GeneralSheaf,true,5,6,epoch-0,2,1,cohens_d_test,0.066972226
minesweeper,GeneralSheaf,true,5,6,epoch-0,3,1,cohens_d_test,0.109500386
minesweeper,GeneralSheaf,true,5,6,epoch-0,4,1,cohens_d_test,0.03876274
minesweeper,GeneralSheaf,true,5,6,epoch-0,5,1,cohens_d_test,0.030612748
minesweeper,GeneralSheaf,true,5,6,epoch-0,6,1,cohens_d_test,0.034134075
minesweeper,GeneralSheaf,true,5,6,epoch-0,0,2,degree,0.021619793271546613
minesweeper,GeneralSheaf,true,5,6,epoch-0,1,2,degree,0.1429980046932485
minesweeper,GeneralSheaf,true,5,6,epoch-0,2,2,degree,0.16051492664148442
minesweeper,GeneralSheaf,true,5,6,epoch-0,3,2,degree,0.1323903668445183
minesweeper,GeneralSheaf,true,5,6,epoch-0,4,2,degree,0.10557306987998868
minesweeper,GeneralSheaf,true,5,6,epoch-0,5,2,degree,0.10039708562857654
minesweeper,GeneralSheaf,true,5,6,epoch-0,6,2,degree,0.10597504498136011
minesweeper,GeneralSheaf,true,5,6,epoch-0,0,2,betweenness,-0.018108039872672815
minesweeper,GeneralSheaf,true,5,6,epoch-0,1,2,betweenness,0.060745304442400984
minesweeper,GeneralSheaf,true,5,6,epoch-0,2,2,betweenness,0.07142747514563172
minesweeper,GeneralSheaf,true,5,6,epoch-0,3,2,betweenness,0.06493809779058911
minesweeper,GeneralSheaf,true,5,6,epoch-0,4,2,betweenness,0.0560609427298049
minesweeper,GeneralSheaf,true,5,6,epoch-0,5,2,betweenness,0.059746679941230854
minesweeper,GeneralSheaf,true,5,6,epoch-0,6,2,betweenness,0.0661254022240313
minesweeper,GeneralSheaf,true,5,6,epoch-0,0,2,confidence,-0.11806392688365518
minesweeper,GeneralSheaf,true,5,6,epoch-0,1,2,confidence,0.4276944734086133
minesweeper,GeneralSheaf,true,5,6,epoch-0,2,2,confidence,0.23879720679758173
minesweeper,GeneralSheaf,true,5,6,epoch-0,3,2,confidence,0.3611937585157882
minesweeper,GeneralSheaf,true,5,6,epoch-0,4,2,confidence,0.40688832878835784
minesweeper,GeneralSheaf,true,5,6,epoch-0,5,2,confidence,0.3250656507573172
minesweeper,GeneralSheaf,true,5,6,epoch-0,6,2,confidence,0.3183286469941708
minesweeper,GeneralSheaf,true,5,6,epoch-0,0,2,saliency,-0.011792512861415142
minesweeper,GeneralSheaf,true,5,6,epoch-0,1,2,saliency,0.25671311854059303
minesweeper,GeneralSheaf,true,5,6,epoch-0,2,2,saliency,0.26138634371115055
minesweeper,GeneralSheaf,true,5,6,epoch-0,3,2,saliency,0.32534144762971917
minesweeper,GeneralSheaf,true,5,6,epoch-0,4,2,saliency,0.27577163562681684
minesweeper,GeneralSheaf,true,5,6,epoch-0,5,2,saliency,0.25419713935388505
minesweeper,GeneralSheaf,true,5,6,epoch-0,6,2,saliency,0.2685139078399723
minesweeper,GeneralSheaf,true,5,6,epoch-0,0,2,cohens_d_train,0.30983746
minesweeper,GeneralSheaf,true,5,6,epoch-0,1,2,cohens_d_train,0.00482067
minesweeper,GeneralSheaf,true,5,6,epoch-0,2,2,cohens_d_train,0.2150276
minesweeper,GeneralSheaf,true,5,6,epoch-0,3,2,cohens_d_train,0.15646902
minesweeper,GeneralSheaf,true,5,6,epoch-0,4,2,cohens_d_train,0.09677433
minesweeper,GeneralSheaf,true,5,6,epoch-0,5,2,cohens_d_train,0.006056246
minesweeper,GeneralSheaf,true,5,6,epoch-0,6,2,cohens_d_train,0.11011998
minesweeper,GeneralSheaf,true,5,6,epoch-0,0,2,cohens_d_test,0.26909116
minesweeper,GeneralSheaf,true,5,6,epoch-0,1,2,cohens_d_test,0.0353978
minesweeper,GeneralSheaf,true,5,6,epoch-0,2,2,cohens_d_test,0.21138342
minesweeper,GeneralSheaf,true,5,6,epoch-0,3,2,cohens_d_test,0.18411766
minesweeper,GeneralSheaf,true,5,6,epoch-0,4,2,cohens_d_test,0.15115051
