dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,indicator,mean,se,n_folds
wisconsin,GeneralSheaf,2,2,true,last,gating,soft,acc,baseline,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,soft,acc,conviction,0.8666666746139526,0.0077444770513859125,10
wisconsin,GeneralSheaf,2,2,true,last,gating,soft,acc,confidence,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,soft,acc,degree,0.8666666746139526,0.0077444770513859125,10
