dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds,pct_nodes_remaining,pct_edges_remaining,n_connected_components,giant_component_pct
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,baseline,,0,0.6530809283256531,0.011382605263015133,10,,,,
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conviction,1,147.7,0.6541552603244781,0.011449488340967186,10,0.955605650736399,0.9652460456942004,423.5,0.6436525052659773
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conviction,2,147.5,0.655858725309372,0.011302080374412686,10,0.9556657649534115,0.9511862917398947,456.7,0.6296064640661143
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conviction,3,147.5,0.6588005363941193,0.009604266180798685,10,0.9556657649534115,0.9403778558875221,473.9,0.6143220625202703
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conviction,4,147.4,0.6580951035022735,0.010346288581837023,10,0.9556958220619176,0.9346880492091388,476.7,0.6143452503960873
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conviction,5,147.4,0.6565617024898529,0.010523766280992082,10,0.9556958220619176,0.9245386643233744,485.1,0.6068343266828233
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conviction,6,147.3,0.6546060860157012,0.010300338461324183,10,0.9557258791704237,0.9168057996485061,498.0,0.5984775377297482
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conviction,7,147.1,0.6541751325130463,0.011214690172274404,10,0.9557859933874362,0.9133567662565906,496.2,0.5918646378415533
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conviction,8,147.1,0.6535709202289581,0.011134486871082578,10,0.9557859933874362,0.8996924428822494,506.2,0.5836660466211153
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conviction,9,147.0,0.649659126996994,0.011489701052877267,10,0.9558160504959424,0.8820957820738137,504.8,0.5889414871000909
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conviction,10,146.7,0.6388073801994324,0.011159045183641138,10,0.9559062218214608,0.8037346221441124,545.8,0.561766215525507
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,confidence,1,147.7,0.653745311498642,0.012031289415907177,10,0.955605650736399,0.9487478031634445,455.7,0.6304761990115523
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,confidence,2,147.5,0.6529957890510559,0.011089940488621193,10,0.9556657649534115,0.9422231985940245,464.2,0.6254747100650823
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,confidence,3,147.5,0.6565017879009247,0.010375046062428981,10,0.9556657649534115,0.9373681898066785,474.0,0.6184761861539892
