dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds,pct_nodes_remaining,pct_edges_remaining,n_connected_components,giant_component_pct
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,baseline,,0,0.8709463953971863,0.0021164231955113242,10,,,,
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conviction,1,1360.0,0.8642620742321014,0.0019355568111437762,10,0.9399876445150473,0.9134813375041759,200.8,0.03048540043188433
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conviction,2,1360.0,0.8633134841918946,0.0020496533403267145,10,0.9399876445150473,0.9031372429920734,263.9,0.02910994272838231
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conviction,3,1360.0,0.8577763080596924,0.0016315925106583445,10,0.9399876445150473,0.8964072038144986,371.0,0.019800957656558066
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conviction,4,1360.0,0.8538495540618897,0.001505373272273389,10,0.9399876445150473,0.8900203480426396,446.0,0.01848183269176603
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conviction,5,1360.0,0.8481358885765076,0.002504655049281828,10,0.9399876445150473,0.8858930361101832,458.3,0.017740118298751294
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conviction,6,1360.0,0.8440767645835876,0.0018083646348917774,10,0.9399876445150473,0.8825128314149483,453.9,0.018524082245798514
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conviction,7,1360.0,0.8434811532497406,0.0018745522453704779,10,0.9399876445150473,0.8801561028942814,465.5,0.016313022251431792
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conviction,8,1359.0,0.8392675817012787,0.00189185599591113,10,0.9400317712470214,0.8759619764934552,534.7,0.016762897244519553
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conviction,9,1359.0,0.8364879667758942,0.0022202933099966697,10,0.9400317712470214,0.8694900841254898,613.3,0.014040276017462331
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conviction,10,1359.0,0.8230972826480866,0.003234916499334744,10,0.9400317712470214,0.851155586600662,859.9,0.011716659625404873
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,confidence,1,1360.0,0.8517979323863983,0.0019666724633744573,10,0.9399876445150473,0.8744829471254594,651.1,0.015181673082339687
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,confidence,2,1360.0,0.8482461988925933,0.0015693815464166727,10,0.9399876445150473,0.874370577337747,631.9,0.014224016524270019
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,confidence,3,1360.0,0.8463931202888488,0.002021644327156703,10,0.9399876445150473,0.8776444862878489,589.7,0.015092479579382215
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,confidence,4,1360.0,0.8478932201862335,0.0019801020419516957,10,0.9399876445150473,0.8811583199198226,536.6,0.015022063655994742
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,confidence,5,1360.0,0.8481800079345703,0.0019452768299836774,10,0.9399876445150473,0.8852977799374374,475.3,0.01790911651488123
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,confidence,6,1360.0,0.8492389142513275,0.0024992060514916095,10,0.9399876445150473,0.8855377046193095,459.5,0.015669890151159514
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,confidence,7,1360.0,0.8459077835083008,0.0020098634320119403,10,0.9399876445150473,0.8870136969660157,428.5,0.018904328232090883
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,confidence,8,1359.0,0.8419369161128998,0.0022155661550234693,10,0.9400317712470214,0.8913262671971329,363.5,0.022325494061869223
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,confidence,9,1359.0,0.8482903242111206,0.0022207849686635495,10,0.9400317712470214,0.8951346918941901,258.1,0.02642350842604328
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,confidence,10,1359.0,0.8466798961162567,0.002619715910095117,10,0.9400317712470214,0.8908585659185471,268.0,0.03160587710651082
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,degree,1,1360.0,0.8553055405616761,0.001953424533459822,10,0.9399876445150473,0.9185319039086464,157.8,0.03890245047413389
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,degree,2,1360.0,0.8543128252029419,0.0019262673631816154,10,0.9399876445150473,0.9186442736963587,165.1,0.03779457327950427
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,degree,3,1360.0,0.853364223241806,0.0019701970745286852,10,0.9399876445150473,0.9185106447596197,164.6,0.031011172659844145
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,degree,4,1360.0,0.8536730647087097,0.002078613699383931,10,0.9399876445150473,0.9184438302912502,165.7,0.032508684630551114
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,degree,5,1360.0,0.848643285036087,0.0019818687187671677,10,0.9399876445150473,0.8861329607920553,423.8,0.017561731292836356
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,degree,6,1360.0,0.8473196625709534,0.002036130228844547,10,0.9399876445150473,0.8791508488474504,470.4,0.016374049385034267
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,degree,7,1360.0,0.8487977087497711,0.0022216960865244517,10,0.9399876445150473,0.8790354420384487,470.3,0.019134353581823298
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,degree,8,1359.0,0.8479373514652252,0.002034838013342967,10,0.9400317712470214,0.8746651684028304,530.4,0.015227902173402807
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,degree,9,1359.0,0.8402823746204376,0.002107437217144882,10,0.9400317712470214,0.8408843805995081,900.4,0.011059475191287612
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,degree,10,1359.0,0.8269799232482911,0.00185230292369265,10,0.9400317712470214,0.8001093327664227,1164.2,0.006895742383701826
